group perc overlap
4 15 0.607851
4 98 0.970289
4 57 0.834418
4 16 0.612908
4 99 0.995647
4 58 0.846077
4 17 0.628320
4 59 0.833908
4 18 0.619282
4 19 0.626902
1 90 0.980426
1 91 0.982681
1 50 0.863548
1 92 0.983335
1 51 0.868941
1 10 0.649190
1 93 0.988182
1 52 0.887745
1 11 0.671531
1 94 0.989608
1 53 0.869806
1 12 0.662991
1 95 0.991530
1 54 0.877959
1 13 0.676721
1 96 0.993473
1 55 0.882920
1 14 0.675758
1 97 0.995431
1 56 0.883594
1 15 0.683627
1 98 0.997556
1 57 0.885054
1 16 0.690413
1 17 0.704916
1 99 0.999704
1 58 0.883162
1 18 0.703283
1 59 0.895850
1 19 0.709280
3 0 0.197746
3 1 0.355802
3 2 0.396873
3 3 0.427456
3 4 0.459417
3 5 0.481316
3 6 0.497356
3 7 0.515064
3 8 0.533384
3 9 0.551393
